亢(1),,009,,8,2,4,+00217+,/kang2,1カウ1(1コウ1)1あがる1あたる1きはめる1(1きわめる1)1たかぶる1,
亢(2),,009,,8,2,4,+00217+,/kang1,1カウ1(1コウ1)1のど1,
交,,009,,8,4,6,+00408+,/jiao1,1カウ1(1コウ1)1ケウ1(1キョウ1)1かふ1(1かう1)1かはす1(1かわす1)1こもごも1まざる1まじる1まぜる1まじはる1(1まじわる1)1まじへる1(1まじえる1)1まじはり1(1まじわり1)1しむ1,
亥,,010,,8,4,6,+00802+,/hai4,1カイ1ガイ1ゐ1(1い1)1がい1,
亦,,010,,8,4,6,+00330+,/yi4,1エキ1ヤク1また1,
亨,享烹,010,010314,8,5,7,+00207+,/heng1/heng2,1キヤウ1(1キョウ1)1カウ1(1コウ1)1ハウ1(1ホウ1)1とほる1(1とおる1)1にる1,
亩,畝,,343,8,5,7,+00600+,/mou3/mu3,1ボウ1モ1せ1うね1,
享,,010,,8,6,8,+00407+,/xiang3,1キヤウ1(1キョウ1)1うける1,
京,,010,,8,6,8,+00906+,/jing1,1ケイ1キヤウ1(1キョウ1)1みやこ1,
亭,,010,,8,7,9,+00201+,/ting2,1テイ1チヤウ1(1チョウ1)1あづまや1(1あずまや1),
亮,,011,,8,7,9,+00217+,/liang4,1リヤウ1(1リョウ1)1あきら1あきらか1すけ1まこと1,
亯,享,011,010,8,7,9,+00606+,/xiang3,1キヤウ1(1キョウ1)1うける1,
亰,京,011,010,8,7,9,+00906+,/jing1,1ケイ1キヤウ1(1キョウ1)1みやこ1,
竒(1),奇,011,103,8,7,9,+00621+,/qi2,1キ1ギ1くし1めづらしい1(1めずらしい1)1あやしい1,
竒(2),奇,011,103,8,7,9,+00621+,/ji1,1キ1ギ1,
亱,夜,011,101,8,7,9,+00216+,/ye4,1ヤ1よ1よる1よは1(1よわ1),
亳,,011,,8,8,10,+00714+,/bo4,1ハク1バク1,
离,離,,605,8,8,10,+00227+,/li2,1リ1はなれる1はなす1つく1かかる1へる1はなれ1ならぶ1,
亶,,011,,8,11,13,+00106+,/dan3,1タン1あつい1まこと1もつぱら1(1もっぱら1),
亹(1),,011,,8,19,21,+00107+,/wei3,1ビ1ミ1,
亹(2),,011,,8,19,21,+00107+,/men2,1ボン1モン1,
人,,011,,9,0,2,+80000+,/ren2,1ジン1ニン1ひと1,
什(1),,011,,9,2,4,+24200+,/shi2,1シフ1(1シュウ1)1ジフ1(1ジュウ1)1とを1(1とお1),
什(2),甚,011,340,9,2,4,+24200+,/shen2,1シン1ジン1ソ1,
仁,,011,,9,2,4,+21210+,/ren2,1ジン1ニン1ひと1ひとし1,
仃,,011,,9,2,4,+21220+,/ding1,1テイ1,
仄,,011,,9,2,4,+71280+,/ze4,1シヨク1(1ショク1)1シキ1ソク1いやしい1かたむく1ほのか1ほのめかす1ほのめく1,
仆,,011,,9,2,4,+23200+,/fu4,1フ1,
仇,,011,,9,2,4,+24217+,/qiu2/chou2,1キウ1(1キュウ1)1ク1あだ1かたき1つれあひ1(1つれあい1),
今,,011,,9,2,4,+80207+,/jin1,1キン1コン1いま1,
介,,012,,9,2,4,+80220+,/jie4,1カイ1ケ1すけ1たすける1,
仍,,012,,9,2,4,+27227+,/reng2,1ジヨウ1(1ジョウ1)1ニヨウ1(1ニョウ1)1かさなる1しきりに1なほ1(1なお1)1よる1,
化,,050,,9,2,4,+24210+,/hua4,1クワ1カ1かへる1(1かえる1)1かはる1(1かわる1)1ばかす1ばける1,
从,從,012,162,9,2,4,+88000+,/cong2,1シヨウ1(1ショウ1)1ジユ1(1ジュ1)1ジユウ1(1ジュウ1)1したがふ1(1したがう1)1より1,
仌,冰,030,036,9,2,4,+80800+,/bing1,1ヒヨウ1(1ヒョウ1)1こほる1(1こおる1)1こほり1(1こおり1),
仏,佛,,017,9,2,4,+22230+,/fu2/fo2,1フツ1ボチ1ブツ1ほとけ1,
仔,,012,,9,3,5,+27247+,/zi1,1シ1こ1こまか1たへる1(1たえる1),
仕,,012,,9,3,5,+24210+,/shi4,1シ1ジ1つかへる1(1つかえる1)1つかまつる1,
他,,012,,9,3,5,+24212+,/tuo1/ta1,1タ1ほか1,
仗,,012,,9,3,5,+25200+,/zhang4,1チヤウ1(1チョウ1)1ヂヤウ1(1ジョウ1)1つはもの1(1つわもの1)1ほこ1まもり1よる1,
付,,012,,9,3,5,+24200+,/fu4,1フ1あたへる1(1あたえる1)1つく1つける1,
仙,,012,,9,3,5,+22270+,/xian1,1セン1,
仝,,012,,9,3,5,+80101+,/tong2,1トウ1ドウ1おなじ1ともに1,
仞,,013,,9,3,5,+27220+,/ren4,1ジン1はかる1ひろ1,
